name,agg_master_class,master_class,detection_count,QSO,AGN,Seyfert_1,Seyfert_2,HMXB,LMXB,XB,YSO,TTau*,Orion_V*,ra,dec
2CXO J121406.6-653348,XB,HMXB,3,0.0±0.0,0.027±0.011,0.0±0.0,0.037±0.051,0.667±0.34,0.121±0.146,0.148±0.204,0.0±0.0,0.0±0.0,0.0±0.0,183.5275441793381,-65.56357324750391
2CXO J132957.4+471612,XB,HMXB,3,0.0±0.0,0.002±0.002,0.023±0.003,0.0±0.0,0.739±0.213,0.148±0.149,0.062±0.084,0.002±0.002,0.024±0.034,0.0±0.0,202.4895749423348,47.27000893209544
2CXO J104554.0-595706,YSO,YSO,3,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.273±0.386,0.327±0.462,0.0±0.0,0.375±0.442,0.001±0.001,0.025±0.025,161.47503973563357,-59.95184464608244
2CXO J114248.2+505807,AGN,QSO,3,0.404±0.346,0.115±0.082,0.017±0.023,0.0±0.0,0.013±0.014,0.003±0.005,0.13±0.183,0.086±0.122,0.134±0.19,0.099±0.14,175.7012425865521,50.96887277140882
2CXO J010301.1-491424,XB,HMXB,3,0.004±0.003,0.122±0.157,0.012±0.009,0.006±0.009,0.614±0.435,0.004±0.006,0.212±0.298,0.023±0.033,0.001±0.001,0.0±0.0,15.754905568074603,-49.24014319299141
2CXO J130538.1-492545,XB,HMXB,3,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.666±0.471,0.001±0.0,0.0±0.0,0.0±0.001,0.0±0.0,0.333±0.471,196.4088142221043,-49.42916847858312
2CXO J112830.9+583340,XB,HMXB,3,0.017±0.023,0.325±0.426,0.039±0.047,0.029±0.041,0.567±0.419,0.012±0.011,0.01±0.014,0.001±0.002,0.0±0.0,0.0±0.0,172.1290634953535,58.561345318968
2CXO J004149.8+410106,Seyfert,Seyfert_2,3,0.306±0.431,0.095±0.11,0.015±0.021,0.333±0.471,0.202±0.286,0.035±0.05,0.002±0.002,0.01±0.014,0.0±0.0,0.001±0.001,10.45753618734193,41.018598715265966
2CXO J123945.2-113849,YSO,YSO,3,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.333±0.471,0.0±0.0,0.333±0.471,0.333±0.471,0.0±0.0,189.9383591354812,-11.64711440425001
2CXO J005559.2+262250,AGN,AGN,3,0.133±0.081,0.367±0.188,0.058±0.056,0.025±0.023,0.095±0.056,0.156±0.101,0.164±0.078,0.0±0.0,0.001±0.001,0.001±0.001,13.9967329301503,26.38069631528581
