name,agg_master_class,master_class,detection_count,QSO,AGN,Seyfert_1,Seyfert_2,HMXB,LMXB,XB,YSO,TTau*,Orion_V*,ra,dec
2CXO J203324.3+412033,YSO,YSO,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.005±0.0,0.0±0.0,0.0±0.0,0.821±0.0,0.018±0.0,0.156±0.0,308.3516550990776,41.34256782215773
2CXO J172148.5-360857,YSO,Orion_V*,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.001±0.0,0.0±0.0,0.0±0.0,0.315±0.0,0.308±0.0,0.375±0.0,260.4522062116323,-36.14941165753817
2CXO J203326.4+411048,XB,LMXB,1,0.0±0.0,0.32±0.0,0.0±0.0,0.0±0.0,0.046±0.0,0.6±0.0,0.0±0.0,0.021±0.0,0.0±0.0,0.013±0.0,308.360258185935,41.18026655576322
2CXO J172128.8-373155,YSO,TTau*,1,0.004±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.229±0.0,0.22±0.0,0.0±0.0,0.057±0.0,0.49±0.0,0.002±0.0,260.3700432219196,-37.53210852507684
2CXO J203327.2+412009,YSO,YSO,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.732±0.0,0.062±0.0,0.205±0.0,308.3634150061754,41.33583414843429
2CXO J203331.0+412026,YSO,YSO,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.598±0.0,0.021±0.0,0.381±0.0,308.3793538549376,41.34058364652433
2CXO J172106.3+354254,Seyfert,Seyfert_2,1,0.026±0.0,0.075±0.0,0.054±0.0,0.501±0.0,0.164±0.0,0.111±0.0,0.067±0.0,0.0±0.0,0.002±0.0,0.0±0.0,260.27647185198,35.71523949438443
2CXO J203332.1+411802,YSO,YSO,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.003±0.0,0.0±0.0,0.0±0.0,0.997±0.0,0.0±0.0,0.0±0.0,308.3839478251183,41.30067732247085
2CXO J203335.2+411119,YSO,YSO,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.86±0.0,0.015±0.0,0.125±0.0,308.3968338009199,41.18880941416839
2CXO J203339.3+412605,YSO,YSO,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.027±0.0,0.0±0.0,0.0±0.0,0.711±0.0,0.0±0.0,0.261±0.0,308.41398426657565,41.43477399187518
2CXO J172059.9-005207,Seyfert,Seyfert_2,1,0.038±0.0,0.021±0.0,0.267±0.0,0.653±0.0,0.02±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,260.2496588026246,-0.8686216150928616
2CXO J172259.7-340439,YSO,Orion_V*,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.17±0.0,0.123±0.0,0.707±0.0,260.7488844364028,-34.07752632376551
2CXO J172309.8-001523,XB,HMXB,1,0.0±0.0,0.013±0.0,0.0±0.0,0.019±0.0,0.8±0.0,0.158±0.0,0.007±0.0,0.001±0.0,0.0±0.0,0.0±0.0,260.79088302960486,-0.2566393649274187
2CXO J172311.3-001927,YSO,YSO,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.002±0.0,0.0±0.0,0.0±0.0,0.978±0.0,0.0±0.0,0.021±0.0,260.7971460060153,-0.3243392856879061
2CXO J172442.5-341202,YSO,YSO,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,1.0±0.0,0.0±0.0,0.0±0.0,261.1773084680998,-34.20074537293342
2CXO J172444.0-341202,YSO,YSO,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,1.0±0.0,0.0±0.0,0.0±0.0,261.1835014655976,-34.20076247713238
2CXO J172443.9-341216,YSO,YSO,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,1.0±0.0,0.0±0.0,0.0±0.0,261.1831205656474,-34.204568510994605
2CXO J172443.9-341131,YSO,YSO,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,1.0±0.0,0.0±0.0,0.0±0.0,261.1831389937497,-34.19213397444256
2CXO J172443.9-341103,XB,HMXB,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.776±0.0,0.0±0.0,0.0±0.0,0.209±0.0,0.0±0.0,0.015±0.0,261.1829710358977,-34.18443561654708
2CXO J172443.5-341227,YSO,YSO,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,1.0±0.0,0.0±0.0,0.0±0.0,261.1813766368807,-34.20761521941718
2CXO J172443.5-341149,YSO,YSO,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,1.0±0.0,0.0±0.0,0.0±0.0,261.18154671395007,-34.19721473146419
2CXO J172443.4-341201,YSO,YSO,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,1.0±0.0,0.0±0.0,0.0±0.0,261.18083512347823,-34.20054194409226
2CXO J172443.1-341153,YSO,YSO,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,1.0±0.0,0.0±0.0,0.0±0.0,261.1798295614318,-34.19814832957093
2CXO J172442.9-341153,YSO,YSO,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,1.0±0.0,0.0±0.0,0.0±0.0,261.1790801041659,-34.198322569879394
2CXO J172442.5-341135,YSO,YSO,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,1.0±0.0,0.0±0.0,0.0±0.0,261.17715125304176,-34.19321113440984
2CXO J172321.9-001700,XB,HMXB,1,0.0±0.0,0.0±0.0,0.001±0.0,0.0±0.0,0.886±0.0,0.105±0.0,0.0±0.0,0.008±0.0,0.0±0.0,0.0±0.0,260.84154556545343,-0.2834933898614814
2CXO J172442.4-341131,YSO,YSO,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,1.0±0.0,0.0±0.0,0.0±0.0,261.1768061656285,-34.191947187492715
2CXO J172442.1-341155,YSO,YSO,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,1.0±0.0,0.0±0.0,0.0±0.0,261.1756066453387,-34.19882401890921
2CXO J172442.1-341146,YSO,YSO,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,1.0±0.0,0.0±0.0,0.0±0.0,261.17543879564755,-34.19623788374473
2CXO J172440.9-341317,YSO,YSO,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,1.0±0.0,0.0±0.0,0.0±0.0,261.1707269382781,-34.22145729399493
2CXO J172354.0-340849,XB,HMXB,1,0.086±0.0,0.113±0.0,0.049±0.0,0.0±0.0,0.706±0.0,0.046±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,260.9750426577234,-34.147221123421
2CXO J172344.3+505212,XB,XB,1,0.122±0.0,0.126±0.0,0.222±0.0,0.141±0.0,0.062±0.0,0.037±0.0,0.291±0.0,0.0±0.0,0.0±0.0,0.0±0.0,260.934789433074,50.87002108927968
2CXO J172337.5-373441,XB,HMXB,1,0.0±0.0,0.004±0.0,0.0±0.0,0.0±0.0,0.612±0.0,0.021±0.0,0.0±0.0,0.262±0.0,0.049±0.0,0.052±0.0,260.90634506214553,-37.578291138492695
2CXO J172333.8-003133,XB,HMXB,1,0.0±0.0,0.007±0.0,0.0±0.0,0.0±0.0,0.571±0.0,0.003±0.0,0.0±0.0,0.143±0.0,0.001±0.0,0.275±0.0,260.89087641023855,-0.525839464903893
2CXO J172323.6+321053,AGN,AGN,1,0.198±0.0,0.781±0.0,0.015±0.0,0.006±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,260.8485256879477,32.18165472471295
2CXO J170905.5-443140,YSO,YSO,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,1.0±0.0,0.0±0.0,0.0±0.0,257.2732808457622,-44.52791937704872
2CXO J170856.6-321941,YSO,YSO,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.172±0.0,0.0±0.0,0.0±0.0,0.773±0.0,0.0±0.0,0.055±0.0,257.2361148694083,-32.328262260766174
2CXO J170854.2-321856,XB,HMXB,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.875±0.0,0.074±0.0,0.0±0.0,0.049±0.0,0.001±0.0,0.0±0.0,257.2261129209378,-32.31582772289826
2CXO J165102.4+050402,XB,LMXB,1,0.0±0.0,0.007±0.0,0.001±0.0,0.006±0.0,0.146±0.0,0.583±0.0,0.257±0.0,0.0±0.0,0.0±0.0,0.0±0.0,252.7602166298334,5.067251729164482
2CXO J164859.5+602757,AGN,QSO,1,0.642±0.0,0.252±0.0,0.099±0.0,0.003±0.0,0.004±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,252.2480511652905,60.46594293128318
2CXO J164751.0+600357,Seyfert,Seyfert_2,1,0.035±0.0,0.01±0.0,0.464±0.0,0.488±0.0,0.002±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,251.96255686787083,60.065950406860736
2CXO J164744.6+601224,XB,LMXB,1,0.077±0.0,0.124±0.0,0.005±0.0,0.0±0.0,0.261±0.0,0.513±0.0,0.019±0.0,0.0±0.0,0.0±0.0,0.0±0.0,251.9359901977175,60.20691297900651
2CXO J164741.8+345732,YSO,YSO,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.004±0.0,0.001±0.0,0.0±0.0,0.463±0.0,0.433±0.0,0.099±0.0,251.92420409967508,34.95901545869146
2CXO J203552.9-353820,YSO,TTau*,1,0.051±0.0,0.0±0.0,0.006±0.0,0.0±0.0,0.007±0.0,0.0±0.0,0.0±0.0,0.161±0.0,0.768±0.0,0.007±0.0,308.9705572845355,-35.63912358408829
2CXO J164733.9-015311,XB,HMXB,1,0.004±0.0,0.254±0.0,0.007±0.0,0.0±0.0,0.542±0.0,0.176±0.0,0.017±0.0,0.0±0.0,0.0±0.0,0.0±0.0,251.89147925973816,-1.8864771509177465
2CXO J164721.5-443156,YSO,YSO,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.394±0.0,0.0±0.0,0.53±0.0,0.0±0.0,0.076±0.0,251.8398911932568,-44.53249724918488
2CXO J164715.7-015646,XB,HMXB,1,0.0±0.0,0.007±0.0,0.005±0.0,0.007±0.0,0.977±0.0,0.0±0.0,0.003±0.0,0.0±0.0,0.0±0.0,0.001±0.0,251.81547855538656,-1.9463393185855216
2CXO J203655.7+595529,AGN,AGN,1,0.001±0.0,0.743±0.0,0.242±0.0,0.0±0.0,0.009±0.0,0.006±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,309.2322177588212,59.92476116602548
2CXO J203815.8+423148,YSO,YSO,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.951±0.0,0.0±0.0,0.049±0.0,309.56595836499173,42.53010167602526
2CXO J203835.8+423442,YSO,YSO,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.001±0.0,0.019±0.0,0.0±0.0,0.98±0.0,0.0±0.0,0.001±0.0,309.6494007214749,42.578603320617184
2CXO J164505.0+573741,AGN,AGN,1,0.043±0.0,0.497±0.0,0.057±0.0,0.0±0.0,0.266±0.0,0.037±0.0,0.1±0.0,0.0±0.0,0.0±0.0,0.0±0.0,251.2711452684306,57.62816665168074
2CXO J164423.1+572605,AGN,AGN,1,0.33±0.0,0.458±0.0,0.178±0.0,0.0±0.0,0.032±0.0,0.001±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,251.0964737549353,57.4348936384356
2CXO J203836.3-251636,XB,HMXB,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.987±0.0,0.0±0.0,0.0±0.0,0.01±0.0,0.0±0.0,0.003±0.0,309.6515949091784,-25.276695760492093
2CXO J164401.6+420954,YSO,Orion_V*,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.007±0.0,0.04±0.0,0.953±0.0,251.0066804895639,42.1651779063638
2CXO J164243.4-093848,Seyfert,Seyfert_2,1,0.0±0.0,0.001±0.0,0.009±0.0,0.554±0.0,0.141±0.0,0.134±0.0,0.161±0.0,0.0±0.0,0.0±0.0,0.0±0.0,250.681024761004,-9.646700055866395
2CXO J164150.2+400145,AGN,QSO,1,0.66±0.0,0.137±0.0,0.133±0.0,0.035±0.0,0.035±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,250.4594247398745,40.02936532652918
2CXO J164144.1+464348,AGN,AGN,1,0.153±0.0,0.797±0.0,0.049±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,250.4338959747741,46.73010444566201
2CXO J164142.3+362549,YSO,TTau*,1,0.015±0.0,0.0±0.0,0.01±0.0,0.0±0.0,0.026±0.0,0.008±0.0,0.0±0.0,0.0±0.0,0.942±0.0,0.0±0.0,250.42647927337063,36.43049361725839
2CXO J203905.0+420641,Seyfert,Seyfert_2,1,0.0±0.0,0.0±0.0,0.0±0.0,0.941±0.0,0.02±0.0,0.0±0.0,0.0±0.0,0.012±0.0,0.003±0.0,0.024±0.0,309.77113423828587,42.111605408149664
2CXO J164138.2+362626,AGN,QSO,1,0.671±0.0,0.02±0.0,0.267±0.0,0.006±0.0,0.035±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,250.40921884044587,36.44078544144808
2CXO J165048.8+050538,AGN,AGN,1,0.088±0.0,0.518±0.0,0.001±0.0,0.0±0.0,0.354±0.0,0.004±0.0,0.029±0.0,0.0±0.0,0.007±0.0,0.0±0.0,252.70350303076145,5.094026769021114
2CXO J165103.0+050835,YSO,TTau*,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.016±0.0,0.0±0.0,0.0±0.0,0.02±0.0,0.959±0.0,0.005±0.0,252.76277318954652,5.143276655313206
2CXO J170822.2-251434,XB,HMXB,1,0.0±0.0,0.014±0.0,0.025±0.0,0.046±0.0,0.543±0.0,0.104±0.0,0.22±0.0,0.046±0.0,0.0±0.0,0.0±0.0,257.0926876912933,-25.24287307958605
2CXO J203543.7-592517,AGN,AGN,1,0.205±0.0,0.454±0.0,0.083±0.0,0.007±0.0,0.116±0.0,0.124±0.0,0.011±0.0,0.0±0.0,0.0±0.0,0.0±0.0,308.9323405759859,-59.42140755468954
2CXO J165309.7+022334,Seyfert,Seyfert_1,1,0.034±0.0,0.005±0.0,0.913±0.0,0.0±0.0,0.048±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,253.2904810755421,2.39294055913596
2CXO J165308.0+023317,XB,HMXB,1,0.0±0.0,0.011±0.0,0.002±0.0,0.0±0.0,0.926±0.0,0.049±0.0,0.013±0.0,0.0±0.0,0.0±0.0,0.0±0.0,253.2837473571373,2.5547710475480545
2CXO J165306.8+022012,AGN,AGN,1,0.352±0.0,0.355±0.0,0.077±0.0,0.0±0.0,0.012±0.0,0.166±0.0,0.039±0.0,0.0±0.0,0.0±0.0,0.0±0.0,253.278700512234,2.336702895696805
2CXO J165306.2+022313,XB,HMXB,1,0.006±0.0,0.111±0.0,0.013±0.0,0.0±0.0,0.713±0.0,0.154±0.0,0.0±0.0,0.002±0.0,0.0±0.0,0.0±0.0,253.2761550472829,2.3870675107331065
2CXO J165304.8+022436,XB,LMXB,1,0.001±0.0,0.097±0.0,0.006±0.0,0.0±0.0,0.443±0.0,0.443±0.0,0.0±0.0,0.008±0.0,0.0±0.0,0.003±0.0,253.2702677651414,2.4101413056005905
2CXO J165300.4+022605,AGN,AGN,1,0.352±0.0,0.362±0.0,0.109±0.0,0.018±0.0,0.065±0.0,0.019±0.0,0.075±0.0,0.0±0.0,0.0±0.0,0.0±0.0,253.25179674181788,2.4349145783549777
2CXO J165256.3+022048,AGN,AGN,1,0.37±0.0,0.531±0.0,0.031±0.0,0.002±0.0,0.001±0.0,0.064±0.0,0.001±0.0,0.0±0.0,0.0±0.0,0.0±0.0,253.2347997631132,2.34683871532222
2CXO J165255.4+023159,AGN,QSO,1,0.416±0.0,0.201±0.0,0.023±0.0,0.004±0.0,0.329±0.0,0.004±0.0,0.02±0.0,0.001±0.0,0.0±0.0,0.001±0.0,253.2311784800454,2.533160135376181
2CXO J165246.5+022751,XB,HMXB,1,0.0±0.0,0.016±0.0,0.037±0.0,0.001±0.0,0.784±0.0,0.132±0.0,0.027±0.0,0.002±0.0,0.001±0.0,0.0±0.0,253.194139446366,2.4642413556321765
2CXO J165244.9+022811,Seyfert,Seyfert_1,1,0.211±0.0,0.153±0.0,0.524±0.0,0.046±0.0,0.047±0.0,0.0±0.0,0.02±0.0,0.0±0.0,0.0±0.0,0.0±0.0,253.1874722443962,2.469955993082737
2CXO J203506.1-525748,XB,LMXB,1,0.003±0.0,0.107±0.0,0.072±0.0,0.022±0.0,0.27±0.0,0.349±0.0,0.176±0.0,0.0±0.0,0.0±0.0,0.0±0.0,308.77549730500573,-52.96354827614403
2CXO J165239.9+022100,AGN,QSO,1,0.872±0.0,0.085±0.0,0.042±0.0,0.0±0.0,0.001±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,253.1664831995552,2.350061554740331
2CXO J203512.0+600122,YSO,TTau*,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,1.0±0.0,0.0±0.0,308.800407603798,60.022925622134
2CXO J165239.2+023243,AGN,AGN,1,0.428±0.0,0.429±0.0,0.134±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.009±0.0,0.0±0.0,253.1634972696204,2.545498863552804
2CXO J203512.7+600731,YSO,Orion_V*,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.006±0.0,0.0±0.0,0.0±0.0,0.364±0.0,0.012±0.0,0.617±0.0,308.8031851101131,60.12549749921856
2CXO J165226.1+022653,AGN,AGN,1,0.133±0.0,0.468±0.0,0.132±0.0,0.162±0.0,0.073±0.0,0.013±0.0,0.02±0.0,0.0±0.0,0.0±0.0,0.0±0.0,253.10879746998523,2.448115864623191
2CXO J165154.0+050239,YSO,YSO,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.023±0.0,0.003±0.0,0.0±0.0,0.865±0.0,0.016±0.0,0.093±0.0,252.9753683244521,5.044390679513417
2CXO J203522.9+422202,XB,HMXB,1,0.0±0.0,0.316±0.0,0.009±0.0,0.0±0.0,0.66±0.0,0.001±0.0,0.0±0.0,0.004±0.0,0.0±0.0,0.009±0.0,308.84562031078553,42.36738810869285
2CXO J165122.4+045820,YSO,YSO,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.011±0.0,0.0±0.0,0.0±0.0,0.989±0.0,0.0±0.0,0.0±0.0,252.84335250652475,4.972317612022242
2CXO J203523.5-593833,AGN,AGN,1,0.054±0.0,0.258±0.0,0.03±0.0,0.166±0.0,0.067±0.0,0.174±0.0,0.17±0.0,0.012±0.0,0.054±0.0,0.015±0.0,308.8482770284212,-59.64254156744231
2CXO J165108.1+045933,YSO,YSO,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.992±0.0,0.0±0.0,0.008±0.0,252.7839812436792,4.992531646575241
2CXO J203915.5+421711,YSO,YSO,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,1.0±0.0,0.0±0.0,0.0±0.0,309.8149534893922,42.28644687368076
2CXO J164130.9-463048,YSO,YSO,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.502±0.0,0.296±0.0,0.201±0.0,250.37885951739747,-46.51349834430763
2CXO J164130.2-485734,YSO,YSO,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.916±0.0,0.0±0.0,0.083±0.0,250.375995225604,-48.95954802852109
2CXO J203922.7+420829,XB,XB,1,0.0±0.0,0.0±0.0,0.038±0.0,0.0±0.0,0.107±0.0,0.003±0.0,0.852±0.0,0.0±0.0,0.0±0.0,0.0±0.0,309.8447373816323,42.141560926083386
2CXO J164046.5-484940,XB,HMXB,1,0.001±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.683±0.0,0.316±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,250.19386301606983,-48.82789796273517
2CXO J164044.5-683121,YSO,Orion_V*,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.03±0.0,0.013±0.0,0.957±0.0,250.1855528664629,-68.52259792712178
2CXO J164044.3-485101,AGN,QSO,1,0.958±0.0,0.003±0.0,0.014±0.0,0.0±0.0,0.004±0.0,0.018±0.0,0.0±0.0,0.001±0.0,0.0±0.0,0.002±0.0,250.18493434137332,-48.85039842395719
2CXO J164039.9-485016,YSO,Orion_V*,1,0.0±0.0,0.003±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.026±0.0,0.0±0.0,0.97±0.0,250.16631057556708,-48.83790033643853
2CXO J164021.9-484838,YSO,Orion_V*,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.223±0.0,0.055±0.0,0.722±0.0,250.09149263297672,-48.81083303086691
2CXO J164014.2-485540,XB,HMXB,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,1.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,250.05935849676172,-48.928052512552654
2CXO J164013.4-490000,YSO,YSO,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.005±0.0,0.0±0.0,0.703±0.0,0.012±0.0,0.279±0.0,250.0560925847708,-49.000129246309136
2CXO J204312.7+171022,AGN,AGN,1,0.46±0.0,0.512±0.0,0.009±0.0,0.0±0.0,0.01±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.008±0.0,0.0±0.0,310.80310074803674,17.17295579235134
2CXO J164007.7+463600,AGN,AGN,1,0.003±0.0,0.834±0.0,0.004±0.0,0.0±0.0,0.04±0.0,0.032±0.0,0.088±0.0,0.0±0.0,0.0±0.0,0.0±0.0,250.0322704760336,46.60007091432334
2CXO J164002.4-463200,XB,HMXB,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,1.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,250.0101282401293,-46.53339720021614
2CXO J163954.7+465838,AGN,AGN,1,0.0±0.0,0.995±0.0,0.0±0.0,0.005±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,249.9780199410327,46.977496629204566
2CXO J163943.1+465653,XB,HMXB,1,0.0±0.0,0.036±0.0,0.0±0.0,0.091±0.0,0.747±0.0,0.0±0.0,0.0±0.0,0.075±0.0,0.038±0.0,0.011±0.0,249.9299005617236,46.94811451601449
2CXO J163938.6-485454,YSO,Orion_V*,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.215±0.0,0.14±0.0,0.644±0.0,249.9111070687664,-48.91523510334026
2CXO J163938.2-485656,XB,LMXB,1,0.006±0.0,0.0±0.0,0.001±0.0,0.0±0.0,0.178±0.0,0.809±0.0,0.0±0.0,0.005±0.0,0.0±0.0,0.0±0.0,249.90926064869984,-48.94900573853875
2CXO J204315.0-004038,XB,HMXB,1,0.021±0.0,0.258±0.0,0.151±0.0,0.009±0.0,0.362±0.0,0.089±0.0,0.108±0.0,0.0±0.0,0.0±0.0,0.0±0.0,310.8126092996507,-0.6772959256148546
2CXO J163928.4+463128,XB,HMXB,1,0.0±0.0,0.054±0.0,0.0±0.0,0.0±0.0,0.932±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.013±0.0,249.86852214507903,46.52464603831566
2CXO J204315.1-504641,Seyfert,Seyfert_1,1,0.071±0.0,0.02±0.0,0.871±0.0,0.003±0.0,0.009±0.0,0.005±0.0,0.02±0.0,0.0±0.0,0.0±0.0,0.0±0.0,310.81319839921616,-50.7782339619623
2CXO J163911.9+294248,AGN,QSO,1,0.664±0.0,0.332±0.0,0.0±0.0,0.0±0.0,0.004±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,249.79982757283096,29.713470574942168
2CXO J163905.4-464212,AGN,AGN,1,0.0±0.0,1.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,249.7727762695112,-46.70349767899887
2CXO J204326.1-503854,YSO,YSO,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.994±0.0,0.0±0.0,0.006±0.0,310.8591327516058,-50.64845695993005
2CXO J163748.3-472219,XB,LMXB,1,0.045±0.0,0.133±0.0,0.001±0.0,0.0±0.0,0.398±0.0,0.421±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,249.45131442223652,-47.37215355886874
2CXO J164049.7-485009,YSO,YSO,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.939±0.0,0.0±0.0,0.061±0.0,250.20748193297584,-48.83594799018953
2CXO J204310.1-503518,Seyfert,Seyfert_1,1,0.087±0.0,0.133±0.0,0.624±0.0,0.0±0.0,0.134±0.0,0.013±0.0,0.008±0.0,0.0±0.0,0.001±0.0,0.0±0.0,310.79230631506675,-50.58838501310694
2CXO J204301.8-503450,AGN,AGN,1,0.426±0.0,0.57±0.0,0.004±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,310.7575929743248,-50.580598057319854
2CXO J164115.4+534411,YSO,Orion_V*,1,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.019±0.0,0.0±0.0,0.0±0.0,0.008±0.0,0.43±0.0,0.542±0.0,250.3144876167557,53.73641729830337
2CXO J203935.2-251459,AGN,QSO,1,0.943±0.0,0.02±0.0,0.031±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.006±0.0,0.0±0.0,0.0±0.0,0.0±0.0,309.89704467462946,-25.249874351098995
