name,hard_master_class,soft_master_class,detection_count,QSO,AGN,Seyfert_1,Seyfert_2,HMXB,LMXB,XB,YSO,TTau*,Orion_V*,ra,dec
2CXO J032743.3+311719,YSO,AGN,2,0.0±0.0,0.5±0.5,0.0±0.0,0.0±0.0,0.0±0.0,0.002±0.002,0.0±0.0,0.498±0.498,0.0±0.0,0.0±0.0,51.93068204660949,31.288825841002744
2CXO J010247.5-491715,LMXB,QSO,2,0.344±0.344,0.053±0.016,0.014±0.014,0.002±0.002,0.12±0.077,0.297±0.098,0.169±0.169,0.001±0.001,0.0±0.0,0.0±0.0,15.69826839796906,-49.2875565163711
2CXO J004320.7+411531,HMXB,YSO,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.499±0.499,0.0±0.0,0.0±0.0,0.5±0.5,0.0±0.0,0.001±0.001,10.836433471055557,41.25875675735551
2CXO J022430.5-000038,QSO,Seyfert_1,2,0.251±0.25,0.0±0.0,0.656±0.343,0.0±0.0,0.093±0.093,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,36.127495508316485,-0.0108043628973012
2CXO J010255.8-214001,AGN,Seyfert_1,2,0.033±0.002,0.352±0.3,0.409±0.408,0.012±0.012,0.147±0.13,0.015±0.011,0.031±0.019,0.0±0.0,0.0±0.0,0.0±0.0,15.732767784525151,-21.667042124310782
2CXO J002443.3-721825,Seyfert_1,QSO,2,0.466±0.133,0.176±0.133,0.312±0.311,0.046±0.046,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,6.180632504829475,-72.30708451321401
2CXO J233427.5-361104,AGN,Seyfert_1,2,0.087±0.077,0.266±0.266,0.403±0.402,0.017±0.005,0.125±0.046,0.049±0.049,0.053±0.053,0.0±0.0,0.0±0.0,0.0±0.0,353.6148314954469,-36.184619801319606
2CXO J233447.4-360504,AGN,HMXB,2,0.19±0.19,0.345±0.196,0.001±0.001,0.0±0.0,0.42±0.419,0.0±0.0,0.0±0.0,0.002±0.002,0.0±0.0,0.042±0.034,353.6977074102124,-36.08467795374821
2CXO J220439.1-565809,QSO,Seyfert_1,2,0.392±0.185,0.003±0.003,0.603±0.181,0.0±0.0,0.002±0.002,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,331.16300310794577,-56.969297979764455
2CXO J221541.6-172457,QSO,HMXB,2,0.383±0.379,0.115±0.092,0.015±0.015,0.0±0.0,0.416±0.416,0.001±0.001,0.0±0.0,0.0±0.0,0.066±0.066,0.004±0.004,333.92372384833084,-17.416015753488864
2CXO J010838.7+013457,AGN,Seyfert_1,2,0.192±0.12,0.335±0.233,0.441±0.373,0.002±0.001,0.02±0.02,0.001±0.001,0.004±0.004,0.0±0.0,0.004±0.004,0.0±0.0,17.161481433514723,1.5826234374883916
2CXO J002012.6+591501,YSO,HMXB,2,0.0±0.0,0.0±0.0,0.001±0.001,0.0±0.0,0.504±0.463,0.015±0.015,0.0±0.0,0.273±0.273,0.118±0.118,0.088±0.088,5.052812236061584,59.25037701500526
2CXO J035917.0-295224,QSO,TTau*,2,0.301±0.178,0.19±0.015,0.092±0.068,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.003±0.003,0.412±0.227,0.001±0.001,59.82087882384121,-29.87340539199983
2CXO J040146.6-325621,Seyfert_1,QSO,2,0.355±0.063,0.296±0.147,0.339±0.087,0.006±0.003,0.003±0.001,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,60.44453382840322,-32.93918291758492
2CXO J034640.3-543608,Seyfert_1,LMXB,2,0.231±0.22,0.02±0.02,0.258±0.232,0.0±0.0,0.0±0.0,0.345±0.345,0.0±0.0,0.038±0.038,0.021±0.003,0.087±0.086,56.66817897865064,-54.60237752467471
2CXO J204950.1-321701,QSO,Orion_V*,2,0.199±0.199,0.106±0.106,0.006±0.006,0.028±0.028,0.112±0.107,0.006±0.006,0.046±0.046,0.101±0.101,0.0±0.0,0.396±0.396,312.45915684403144,-32.28364534745676
2CXO J010346.8-221455,Seyfert_1,QSO,2,0.438±0.196,0.135±0.051,0.413±0.234,0.003±0.003,0.004±0.004,0.0±0.0,0.007±0.006,0.0±0.0,0.0±0.0,0.0±0.0,15.9451341812362,-22.248672675670928
2CXO J003944.9+033105,Seyfert_2,Seyfert_1,2,0.0±0.0,0.0±0.0,0.584±0.398,0.309±0.309,0.025±0.009,0.0±0.0,0.001±0.001,0.0±0.0,0.079±0.079,0.001±0.001,9.937327806497365,3.518112424515848
2CXO J033831.0+100105,LMXB,Seyfert_1,2,0.057±0.054,0.02±0.003,0.418±0.418,0.004±0.003,0.218±0.212,0.219±0.219,0.005±0.0,0.042±0.042,0.009±0.009,0.008±0.007,54.62945290176282,10.018322177686708
2CXO J003909.7+031749,HMXB,Seyfert_1,2,0.0±0.0,0.002±0.002,0.317±0.306,0.004±0.003,0.247±0.245,0.082±0.082,0.161±0.161,0.186±0.186,0.0±0.0,0.002±0.002,9.790695990448455,3.2969667829680365
2CXO J003902.7+032013,HMXB,Orion_V*,2,0.004±0.004,0.104±0.104,0.01±0.01,0.016±0.016,0.361±0.36,0.006±0.006,0.0±0.0,0.035±0.035,0.0±0.0,0.465±0.465,9.761264273454003,3.3370784357336176
2CXO J033901.2+095315,LMXB,Orion_V*,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.426±0.426,0.0±0.0,0.073±0.073,0.047±0.047,0.454±0.451,54.75506725381115,9.887696852924655
2CXO J221450.0+135519,HMXB,Orion_V*,2,0.041±0.041,0.05±0.05,0.01±0.01,0.061±0.061,0.189±0.157,0.055±0.055,0.11±0.11,0.204±0.204,0.0±0.0,0.28±0.28,333.7084399060443,13.922047927468462
2CXO J195919.7+403937,XB,Orion_V*,2,0.006±0.006,0.031±0.031,0.048±0.048,0.029±0.029,0.113±0.07,0.107±0.107,0.188±0.188,0.175±0.175,0.067±0.067,0.236±0.236,299.832396208064,40.66049711759931
2CXO J022227.6+422108,Seyfert_1,HMXB,2,0.095±0.095,0.001±0.001,0.405±0.405,0.0±0.0,0.499±0.499,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,35.615192664192705,42.35228899770528
2CXO J022225.3+422450,Seyfert_1,Seyfert_2,2,0.164±0.163,0.034±0.034,0.192±0.179,0.603±0.384,0.008±0.007,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,35.605452188697484,42.41414332483664
2CXO J025447.3+414043,HMXB,AGN,2,0.046±0.019,0.517±0.313,0.017±0.015,0.003±0.003,0.269±0.216,0.098±0.081,0.044±0.022,0.0±0.0,0.002±0.002,0.003±0.003,43.6971530379451,41.67872361516428
2CXO J025546.5-560507,QSO,AGN,2,0.33±0.276,0.382±0.078,0.021±0.006,0.0±0.0,0.133±0.106,0.134±0.098,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,43.94379121025605,-56.08546916504943
2CXO J025827.7-523507,QSO,AGN,2,0.405±0.397,0.585±0.394,0.008±0.003,0.0±0.0,0.001±0.001,0.0±0.0,0.001±0.001,0.0±0.0,0.0±0.0,0.0±0.0,44.61559534761443,-52.58545998759988
2CXO J010102.8-215951,HMXB,QSO,2,0.247±0.247,0.15±0.102,0.116±0.114,0.008±0.006,0.227±0.225,0.022±0.019,0.225±0.217,0.001±0.001,0.003±0.002,0.001±0.001,15.261702141004092,-21.99761496456415
2CXO J203307.3+412518,YSO,HMXB,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.5±0.5,0.0±0.0,0.0±0.0,0.5±0.5,0.0±0.0,0.0±0.0,308.28045778272144,41.42169210379816
2CXO J031006.7-202016,Seyfert_1,QSO,2,0.342±0.342,0.158±0.158,0.276±0.275,0.225±0.224,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,47.52802945066833,-20.337782988312995
2CXO J005331.6-722240,Seyfert_2,LMXB,2,0.005±0.005,0.083±0.01,0.03±0.03,0.243±0.177,0.197±0.064,0.358±0.149,0.082±0.049,0.002±0.002,0.0±0.0,0.001±0.001,13.382054763408972,-72.37799105811594
2CXO J005554.8+262425,QSO,Seyfert_1,2,0.391±0.365,0.11±0.105,0.485±0.483,0.0±0.0,0.012±0.012,0.0±0.0,0.002±0.002,0.0±0.0,0.0±0.0,0.0±0.0,13.978537514245431,26.407000192690568
2CXO J223912.5-054323,QSO,AGN,2,0.372±0.183,0.483±0.248,0.122±0.061,0.0±0.0,0.002±0.001,0.009±0.006,0.007±0.006,0.0±0.0,0.006±0.006,0.0±0.0,339.80249503161644,-5.723096307007856
2CXO J203322.2+601353,YSO,TTau*,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.002±0.002,0.0±0.0,0.0±0.0,0.365±0.175,0.444±0.34,0.189±0.166,308.34277404877344,60.23161663756099
2CXO J005758.4-722228,Seyfert_2,HMXB,2,0.0±0.0,0.171±0.171,0.023±0.023,0.271±0.271,0.535±0.465,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,14.49370889532446,-72.3746470917098
2CXO J024131.0+593630,Seyfert_2,HMXB,2,0.0±0.0,0.078±0.061,0.007±0.007,0.308±0.299,0.359±0.251,0.047±0.025,0.11±0.11,0.0±0.0,0.092±0.092,0.0±0.0,40.379400988062685,59.60846124455682
2CXO J223904.3-053921,Seyfert_1,QSO,2,0.546±0.174,0.217±0.04,0.21±0.191,0.016±0.016,0.002±0.002,0.001±0.001,0.007±0.004,0.0±0.0,0.0±0.0,0.001±0.001,339.76826070388586,-5.656042347134505
2CXO J224159.1+530357,AGN,HMXB,2,0.009±0.009,0.234±0.23,0.0±0.0,0.0±0.0,0.557±0.31,0.126±0.126,0.001±0.001,0.017±0.001,0.0±0.0,0.055±0.055,340.496269344604,53.06596480461652
2CXO J024034.8+390645,AGN,Seyfert_1,2,0.26±0.179,0.245±0.233,0.462±0.418,0.011±0.011,0.022±0.016,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,40.14526312053886,39.11254695571757
2CXO J005531.1+262452,QSO,Seyfert_2,2,0.226±0.226,0.205±0.17,0.054±0.053,0.345±0.345,0.045±0.045,0.002±0.002,0.09±0.09,0.0±0.0,0.032±0.032,0.0±0.0,13.879611284197551,26.41471511148088
2CXO J023950.2+390709,LMXB,AGN,2,0.097±0.089,0.286±0.17,0.041±0.039,0.011±0.01,0.161±0.006,0.267±0.184,0.092±0.075,0.0±0.0,0.043±0.043,0.001±0.001,39.95917510048656,39.11943462333615
2CXO J025340.1+413019,YSO,Seyfert_1,2,0.14±0.023,0.01±0.01,0.425±0.425,0.0±0.0,0.001±0.001,0.001±0.001,0.005±0.005,0.412±0.412,0.0±0.0,0.006±0.006,43.41722527781292,41.50537399174239
2CXO J223621.7-255743,AGN,TTau*,2,0.0±0.0,0.247±0.234,0.043±0.043,0.0±0.0,0.216±0.216,0.026±0.026,0.0±0.0,0.014±0.014,0.443±0.443,0.011±0.011,339.0907774800289,-25.962097397516214
2CXO J010047.3-212430,QSO,Seyfert_1,2,0.347±0.093,0.119±0.063,0.439±0.068,0.003±0.002,0.0±0.0,0.0±0.0,0.0±0.0,0.043±0.043,0.026±0.026,0.021±0.021,15.197279814393768,-21.40849844413828
2CXO J203341.8-472134,HMXB,AGN,2,0.206±0.137,0.252±0.071,0.103±0.092,0.017±0.014,0.203±0.144,0.059±0.044,0.16±0.098,0.0±0.0,0.0±0.0,0.0±0.0,308.4244218855081,-47.35961301002762
2CXO J010220.6-490807,QSO,Seyfert_1,2,0.419±0.02,0.023±0.012,0.444±0.133,0.004±0.0,0.107±0.102,0.001±0.001,0.0±0.0,0.0±0.0,0.0±0.0,0.001±0.001,15.586201456497918,-49.135525816457424
2CXO J010221.9-492135,AGN,XB,2,0.027±0.02,0.194±0.121,0.013±0.013,0.105±0.105,0.157±0.051,0.15±0.028,0.225±0.19,0.032±0.032,0.014±0.014,0.081±0.081,15.591455728349729,-49.3598105444681
2CXO J203427.7+413115,Orion_V*,YSO,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.507±0.493,0.0±0.0,0.493±0.492,308.6158162166444,41.52102224960981
2CXO J203428.2+413123,Orion_V*,YSO,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.507±0.493,0.0±0.0,0.493±0.492,308.61769831681227,41.523223427075386
2CXO J004929.9+321557,AGN,QSO,2,0.41±0.263,0.258±0.201,0.196±0.194,0.0±0.0,0.004±0.0,0.0±0.0,0.001±0.001,0.129±0.129,0.0±0.0,0.001±0.001,12.374746499018327,32.2660352276422
2CXO J203430.2+413127,Orion_V*,YSO,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.507±0.493,0.0±0.0,0.493±0.492,308.6260299145574,41.5244064856764
2CXO J203351.8+601051,Orion_V*,HMXB,2,0.0±0.0,0.013±0.009,0.0±0.0,0.0±0.0,0.506±0.436,0.008±0.007,0.001±0.001,0.113±0.103,0.002±0.002,0.357±0.353,308.4659026399099,60.18103948394282
2CXO J004733.3-251722,LMXB,HMXB,2,0.0±0.0,0.0±0.0,0.0±0.0,0.083±0.083,0.699±0.298,0.204±0.201,0.0±0.0,0.0±0.0,0.01±0.01,0.003±0.003,11.889091878141926,-25.28945716461201
2CXO J203213.5+412711,AGN,Orion_V*,2,0.002±0.002,0.406±0.406,0.013±0.013,0.0±0.0,0.078±0.078,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.5±0.5,308.0563272097967,41.45330862889372
2CXO J225457.1+623416,YSO,Orion_V*,2,0.0±0.0,0.003±0.003,0.0±0.0,0.002±0.002,0.064±0.064,0.002±0.002,0.001±0.001,0.199±0.194,0.079±0.079,0.648±0.347,343.73827011810613,62.57116034691524
2CXO J031043.6-203918,QSO,HMXB,2,0.332±0.302,0.177±0.165,0.008±0.002,0.0±0.0,0.395±0.382,0.071±0.071,0.017±0.017,0.0±0.0,0.0±0.0,0.0±0.0,47.68185948489497,-20.65520456635108
2CXO J023530.4-523043,AGN,HMXB,2,0.112±0.078,0.239±0.238,0.044±0.044,0.0±0.0,0.474±0.403,0.052±0.0,0.078±0.042,0.0±0.0,0.0±0.0,0.0±0.0,38.876722761927454,-52.512076282076
2CXO J031215.4+011638,Seyfert_1,QSO,2,0.657±0.295,0.033±0.005,0.26±0.24,0.041±0.041,0.009±0.009,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,48.06425218033496,1.2773329408733534
2CXO J203301.9+411059,XB,HMXB,2,0.004±0.004,0.215±0.215,0.002±0.002,0.0±0.0,0.398±0.137,0.102±0.078,0.279±0.279,0.0±0.0,0.0±0.0,0.0±0.0,308.2581129350717,41.18309757040623
2CXO J203301.7+411104,XB,HMXB,2,0.004±0.004,0.215±0.215,0.002±0.002,0.0±0.0,0.398±0.137,0.102±0.078,0.279±0.279,0.0±0.0,0.0±0.0,0.0±0.0,308.2574740397199,41.18446272862228
2CXO J203301.3+411055,XB,HMXB,2,0.004±0.004,0.215±0.215,0.002±0.002,0.0±0.0,0.398±0.137,0.102±0.078,0.279±0.279,0.0±0.0,0.0±0.0,0.0±0.0,308.2554903099174,41.18217361598546
2CXO J203300.8+411115,XB,HMXB,2,0.004±0.004,0.215±0.215,0.002±0.002,0.0±0.0,0.398±0.137,0.102±0.078,0.279±0.279,0.0±0.0,0.0±0.0,0.0±0.0,308.25362201131907,41.18770392132279
2CXO J203300.0+411107,XB,HMXB,2,0.004±0.004,0.215±0.215,0.002±0.002,0.0±0.0,0.398±0.137,0.102±0.078,0.279±0.279,0.0±0.0,0.0±0.0,0.0±0.0,308.25004531268087,41.18542360391797
2CXO J031638.0-405441,Seyfert_1,QSO,2,0.493±0.159,0.065±0.062,0.399±0.064,0.042±0.033,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,49.15873211492112,-40.91150484063724
2CXO J031650.4-410455,Seyfert_1,AGN,2,0.296±0.043,0.317±0.297,0.184±0.178,0.14±0.136,0.004±0.001,0.008±0.008,0.013±0.013,0.012±0.012,0.002±0.002,0.025±0.025,49.21037717777995,-41.08204498540143
2CXO J203421.0+411712,Orion_V*,HMXB,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.5±0.5,0.0±0.0,0.0±0.0,0.129±0.129,0.0±0.0,0.371±0.371,308.5875279605684,41.28679956385572
2CXO J031701.3+411621,AGN,QSO,2,0.521±0.479,0.471±0.471,0.008±0.007,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,49.25553505687549,41.27266533356353
2CXO J031701.4+411709,TTau*,HMXB,2,0.013±0.013,0.0±0.0,0.0±0.0,0.0±0.0,0.498±0.498,0.0±0.0,0.0±0.0,0.077±0.077,0.221±0.217,0.191±0.191,49.256169178933874,41.28583797468293
2CXO J203421.8+411717,Orion_V*,HMXB,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.5±0.5,0.0±0.0,0.0±0.0,0.129±0.129,0.0±0.0,0.371±0.371,308.59123634805144,41.28818663362215
2CXO J203422.0+411714,Orion_V*,HMXB,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.5±0.5,0.0±0.0,0.0±0.0,0.129±0.129,0.0±0.0,0.371±0.371,308.59173401000135,41.28738840700235
2CXO J203422.0+411722,Orion_V*,HMXB,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.5±0.5,0.0±0.0,0.0±0.0,0.129±0.129,0.0±0.0,0.371±0.371,308.5918768934521,41.28963236963156
2CXO J041733.4-120101,QSO,AGN,2,0.382±0.362,0.581±0.398,0.022±0.022,0.001±0.001,0.01±0.01,0.001±0.001,0.002±0.002,0.0±0.0,0.0±0.0,0.0±0.0,64.38943344913497,-12.017190189221887
2CXO J193213.9+105932,HMXB,YSO,2,0.033±0.033,0.0±0.0,0.0±0.0,0.0±0.0,0.341±0.341,0.0±0.0,0.0±0.0,0.342±0.118,0.0±0.0,0.284±0.257,293.05832309908294,10.992422995195785
2CXO J215717.5-693002,YSO,LMXB,2,0.009±0.009,0.004±0.004,0.003±0.003,0.001±0.001,0.093±0.093,0.384±0.384,0.0±0.0,0.292±0.285,0.036±0.036,0.177±0.162,329.3229463994435,-69.50072912042982
2CXO J210639.2-584428,Seyfert_1,QSO,2,0.415±0.046,0.208±0.022,0.371±0.022,0.001±0.001,0.005±0.004,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,316.66355605134345,-58.74120439328684
2CXO J215504.3+380808,LMXB,Orion_V*,2,0.004±0.004,0.0±0.0,0.015±0.015,0.0±0.0,0.02±0.019,0.18±0.179,0.098±0.098,0.196±0.124,0.192±0.181,0.296±0.01,328.7679872104957,38.13570839513185
2CXO J013243.4+303505,AGN,HMXB,2,0.001±0.0,0.242±0.229,0.0±0.0,0.026±0.019,0.551±0.132,0.068±0.021,0.006±0.006,0.067±0.067,0.013±0.013,0.025±0.025,23.18091321438305,30.584994731153444
2CXO J000027.4-500421,AGN,Seyfert_1,2,0.02±0.02,0.404±0.4,0.435±0.373,0.0±0.0,0.06±0.059,0.017±0.006,0.002±0.002,0.001±0.001,0.059±0.059,0.002±0.002,0.1143034167072301,-50.07266878068802
2CXO J191527.5-241826,HMXB,TTau*,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.273±0.273,0.205±0.205,0.0±0.0,0.002±0.002,0.519±0.481,0.001±0.001,288.86464401263424,-24.307342700688928
2CXO J013612.6+154958,Seyfert_1,HMXB,2,0.0±0.0,0.0±0.0,0.235±0.235,0.0±0.0,0.571±0.234,0.038±0.038,0.0±0.0,0.029±0.029,0.057±0.057,0.07±0.048,24.052569210752324,15.832899518646832
2CXO J192350.1+143302,YSO,LMXB,2,0.0±0.0,0.129±0.129,0.0±0.0,0.0±0.0,0.0±0.0,0.482±0.218,0.0±0.0,0.389±0.347,0.001±0.001,0.0±0.0,290.9589932635098,14.550755191870568
2CXO J191540.5-241220,Seyfert_1,HMXB,2,0.0±0.0,0.074±0.074,0.367±0.367,0.057±0.057,0.501±0.498,0.001±0.001,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,288.91906407719057,-24.20579844240117
2CXO J041921.5+021000,AGN,Seyfert_1,2,0.152±0.016,0.278±0.194,0.488±0.172,0.057±0.056,0.004±0.001,0.003±0.003,0.015±0.011,0.0±0.0,0.002±0.002,0.0±0.0,64.83966468339332,2.1668043701738013
2CXO J000136.1+130639,Orion_V*,HMXB,2,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.491±0.491,0.002±0.002,0.0±0.0,0.155±0.139,0.133±0.131,0.219±0.219,0.4004398019434347,13.110959521781387
2CXO J013639.1+154309,QSO,XB,2,0.253±0.234,0.088±0.028,0.142±0.116,0.04±0.015,0.103±0.028,0.11±0.11,0.263±0.254,0.0±0.0,0.0±0.0,0.0±0.0,24.16313998856367,15.71942921682242
2CXO J041508.8-241604,QSO,AGN,2,0.32±0.208,0.428±0.161,0.161±0.039,0.0±0.0,0.084±0.08,0.005±0.005,0.002±0.002,0.0±0.0,0.0±0.0,0.0±0.0,63.78703217502192,-24.267938391590743
2CXO J013451.8+302909,LMXB,HMXB,2,0.001±0.001,0.022±0.022,0.008±0.008,0.0±0.0,0.514±0.421,0.454±0.453,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,23.716183733413686,30.485971535786977
2CXO J013449.0+303328,LMXB,HMXB,2,0.011±0.006,0.069±0.016,0.155±0.051,0.034±0.011,0.25±0.134,0.212±0.128,0.112±0.105,0.01±0.005,0.146±0.146,0.001±0.001,23.704313048999097,30.55800028978082
2CXO J192534.9+500725,TTau*,QSO,2,0.407±0.406,0.088±0.075,0.086±0.086,0.001±0.0,0.063±0.063,0.031±0.031,0.008±0.008,0.0±0.0,0.302±0.302,0.013±0.013,291.3955867822193,50.12381731368427
2CXO J213619.9-543146,XB,HMXB,2,0.113±0.063,0.086±0.084,0.012±0.012,0.07±0.07,0.573±0.373,0.006±0.006,0.139±0.139,0.001±0.001,0.0±0.0,0.0±0.0,324.08301725617457,-54.52966380476745
2CXO J020938.5-100847,TTau*,AGN,2,0.197±0.097,0.439±0.233,0.001±0.0,0.0±0.0,0.06±0.029,0.017±0.016,0.029±0.028,0.041±0.041,0.187±0.187,0.029±0.029,32.41049232732439,-10.14661001195776
2CXO J013358.8+305004,LMXB,HMXB,2,0.001±0.001,0.041±0.022,0.062±0.062,0.072±0.072,0.492±0.205,0.224±0.169,0.056±0.056,0.051±0.051,0.0±0.0,0.0±0.0,23.495191330160537,30.83452910833985
