name,hard_master_class,soft_master_class,detection_count,QSO,AGN,Seyfert_1,Seyfert_2,HMXB,LMXB,XB,YSO,TTau*,Orion_V*,ra,dec
2CXO J044015.2+073044,AGN,QSO,2,0.568±0.248,0.285±0.138,0.043±0.006,0.001±0.001,0.101±0.101,0.0±0.0,0.002±0.002,0.0±0.0,0.0±0.0,0.0±0.0,70.06353488819781,7.512280577177656
2CXO J053514.8-052225,Seyfert_1,Orion_V*,2,0.0±0.0,0.0±0.0,0.29±0.29,0.072±0.072,0.1±0.1,0.0±0.0,0.037±0.037,0.052±0.051,0.0±0.0,0.448±0.448,83.81202823460563,-5.373669180323796
2CXO J053515.0-052231,Seyfert_1,Orion_V*,2,0.0±0.0,0.0±0.0,0.29±0.29,0.072±0.072,0.1±0.1,0.0±0.0,0.037±0.037,0.052±0.051,0.0±0.0,0.448±0.448,83.81284675126813,-5.375355414018778
2CXO J053514.9-052232,Seyfert_1,Orion_V*,2,0.0±0.0,0.0±0.0,0.29±0.29,0.072±0.072,0.1±0.1,0.0±0.0,0.037±0.037,0.052±0.051,0.0±0.0,0.448±0.448,83.812394145555,-5.375770356566828
2CXO J123049.1+122322,AGN,Orion_V*,2,0.118±0.118,0.216±0.216,0.008±0.008,0.0±0.0,0.145±0.145,0.0±0.0,0.001±0.001,0.016±0.015,0.0±0.0,0.496±0.473,187.70489139472363,12.389483078328675
2CXO J123049.3+122321,AGN,Orion_V*,2,0.118±0.118,0.216±0.216,0.008±0.008,0.0±0.0,0.145±0.145,0.0±0.0,0.001±0.001,0.016±0.015,0.0±0.0,0.496±0.473,187.7055141400616,12.38935977364651
2CXO J123049.8+122327,AGN,Orion_V*,2,0.118±0.118,0.216±0.216,0.008±0.008,0.0±0.0,0.145±0.145,0.0±0.0,0.001±0.001,0.016±0.015,0.0±0.0,0.496±0.473,187.70775744892103,12.390970259724693
2CXO J053514.8-052231,Seyfert_1,Orion_V*,2,0.0±0.0,0.0±0.0,0.29±0.29,0.072±0.072,0.1±0.1,0.0±0.0,0.037±0.037,0.052±0.051,0.0±0.0,0.448±0.448,83.81191997588695,-5.375398298435588
2CXO J053514.8-052222,Seyfert_1,Orion_V*,2,0.0±0.0,0.0±0.0,0.29±0.29,0.072±0.072,0.1±0.1,0.0±0.0,0.037±0.037,0.052±0.051,0.0±0.0,0.448±0.448,83.81169404934678,-5.373038205306885
2CXO J053514.7-052237,Seyfert_1,Orion_V*,2,0.0±0.0,0.0±0.0,0.29±0.29,0.072±0.072,0.1±0.1,0.0±0.0,0.037±0.037,0.052±0.051,0.0±0.0,0.448±0.448,83.81146822350001,-5.377197940299997
2CXO J053514.7-052229,Seyfert_1,Orion_V*,2,0.0±0.0,0.0±0.0,0.29±0.29,0.072±0.072,0.1±0.1,0.0±0.0,0.037±0.037,0.052±0.051,0.0±0.0,0.448±0.448,83.81133334796027,-5.374882573975404
2CXO J053514.6-052249,Seyfert_1,Orion_V*,2,0.0±0.0,0.0±0.0,0.29±0.29,0.072±0.072,0.1±0.1,0.0±0.0,0.037±0.037,0.052±0.051,0.0±0.0,0.448±0.448,83.81118819136395,-5.380343080105741
2CXO J053514.6-052233,Seyfert_1,Orion_V*,2,0.0±0.0,0.0±0.0,0.29±0.29,0.072±0.072,0.1±0.1,0.0±0.0,0.037±0.037,0.052±0.051,0.0±0.0,0.448±0.448,83.81103862882526,-5.375996747242916
2CXO J053514.4-052238,Seyfert_1,Orion_V*,2,0.0±0.0,0.0±0.0,0.29±0.29,0.072±0.072,0.1±0.1,0.0±0.0,0.037±0.037,0.052±0.051,0.0±0.0,0.448±0.448,83.81037804185041,-5.377361992813373
2CXO J053514.3-052235,Seyfert_1,Orion_V*,2,0.0±0.0,0.0±0.0,0.29±0.29,0.072±0.072,0.1±0.1,0.0±0.0,0.037±0.037,0.052±0.051,0.0±0.0,0.448±0.448,83.80981768947407,-5.3766369475098825
2CXO J053514.3-052230,Seyfert_1,Orion_V*,2,0.0±0.0,0.0±0.0,0.29±0.29,0.072±0.072,0.1±0.1,0.0±0.0,0.037±0.037,0.052±0.051,0.0±0.0,0.448±0.448,83.80995455370271,-5.375061406039158
2CXO J053513.9-052231,Seyfert_1,Orion_V*,2,0.0±0.0,0.0±0.0,0.29±0.29,0.072±0.072,0.1±0.1,0.0±0.0,0.037±0.037,0.052±0.051,0.0±0.0,0.448±0.448,83.80814984447125,-5.375470670026057
