,name,obsid,cluster,ra,dec,main_type,QSO,AGN,Seyfert_1,Seyfert_2,HMXB,LMXB,XB,YSO,TTau*,Orion_V*
13104,2CXO J201941.1+404220,12676,1,304.92138948376305,40.70582824623644,YSO,7.485498145249911e-10,3.011169723581669e-07,2.8884035685830967e-09,8.36023226723972e-08,7.098132099875539e-05,1.7332247422276304e-09,7.553243716970176e-08,0.39621542832043016,0.39385042229844236,0.2098627024382185
13105,2CXO J201944.9+410148,12676,2,304.9371467825597,41.03027445223557,HMXB,5.0383161300373175e-12,7.157026844184927e-05,2.7103349066256608e-15,1.8291426639042518e-09,0.6938510212132979,5.002759758675967e-05,1.3606713337043585e-10,0.24131021965268892,0.007189158595819931,0.05752800070191394
13106,2CXO J201947.0+405922,12676,1,304.945870940149,40.98959483018748,HMXB,4.2685488595637216e-24,1.2344988037591402e-14,8.426185819941299e-19,7.814078963940354e-13,0.9631675153677526,1.3758976434602118e-12,2.568893282053364e-07,2.5999732125903785e-06,0.029899218047623428,0.006930409719913604
13107,2CXO J201957.5+410216,12676,3,304.989967457263,41.03783559680779,AGN,1.0612745069922488e-19,0.7132493722479699,3.016344531376054e-15,5.784204353610709e-07,2.7841859314055486e-06,0.2845485131508997,0.0,2.7070262464009015e-13,2.1931893106673707e-20,0.002198751994489772
13108,2CXO J202001.8+402602,3856,0,305.00773274661856,40.434042130695865,YSO,6.189624468290616e-20,1.4201571868795117e-111,3.753588099520201e-56,1.2364288854606703e-108,0.002753568342683666,1.9624667488554155e-11,0.0,0.9253481671031334,4.969861379224177e-12,0.07189826452958832
13109,2CXO J202016.9+402624,2826,5,305.0704588269451,40.44006489154476,YSO,2.55213421244068e-56,3.0630230176026826e-122,2.3836746476758657e-67,2.6285331144184328e-182,3.564527175421628e-20,1.150098953406392e-16,6.150893866758101e-10,0.9999999725466352,2.276431704062462e-13,2.683804763669003e-08
13110,2CXO J202017.1+402614,2826,5,305.07144958946367,40.43740323928466,YSO,2.55213421244068e-56,3.0630230176026826e-122,2.3836746476758657e-67,2.6285331144184328e-182,3.564527175421628e-20,1.150098953406392e-16,6.150893866758101e-10,0.9999999725466352,2.276431704062462e-13,2.683804763669003e-08
13111,2CXO J202017.1+402614,3856,0,305.07144958946367,40.43740323928466,YSO,0.0,0.0,0.0,0.0,2.3481887729368935e-13,2.1730059017302966e-56,0.0,0.9999999999997652,1.5464085963261683e-19,1.294902149725437e-28
13112,2CXO J202043.0+364932,3901,5,305.1794684098966,36.82560217452064,YSO,5.699758476557791e-20,4.248463326921341e-52,8.37997647694835e-37,5.726493961832957e-44,0.0001799136590134433,0.0001381614463808969,1.481809264382015e-13,0.5132403474919516,0.04456803040495127,0.44187354699755466
13113,2CXO J202043.0+364932,7603,0,305.1794684098966,36.82560217452064,HMXB,3.131929454734017e-304,1.977207194688434e-74,3.337259064333574e-234,0.0,0.9460777597576788,0.023031717348479665,0.0,0.0308812527792223,9.213867504594365e-06,5.624711460766216e-08
13114,2CXO J202043.0+364932,8502,4,305.1794684098966,36.82560217452064,YSO,0.0,0.0,0.0,0.0,7.082720057274163e-08,1.360259574809868e-51,0.0,0.9998838173391961,3.155381116520358e-08,0.00011608027979238991
